name,type,citta,nazione,sito_web,num_executives,num_fondi,totale_aum_eur,aum_raw,num_portfolio,check_min_eur,check_max_eur,preferenze_geo,focus_investimento,preferenze_settore,remarks
Clessidra Private Equity SGR,Private Equity,Milano,Italia,http://www.clessidraprivateequity.it,11,5,3000000000,> 3 Bln Euro,27,15000000,100000000,Italy,"Buy Out, Expansion, Replacement","Agriculture, Financial and insurance activities, Healthcare, Industrial products and services, Retail","Clessidra Private Equity SGR is part of the Clessidra Group, one of Italy’s leading alternative investment managers, providing small and medium-sized enterprises with financial resources, specialised expertise and extensive experience in ESG integration, while addressing the strong demand for diversified products and services from major domestic and international institutional investors.Established in 2003, Clessidra Private Equity SGR is one of Italy’s leading private equity firms, having raised over €3 billion through its funds. The firm pursues a sector-agnostic approach through its flagship strategy, alongside a thematic strategy focused on small-cap investments in the agrifood sector. Since its inception, it has completed over 30 investments, for a total value exceeding €3 billion, as well as more than 30 add-on acquisitions for its portfolio companies. Clessidra Private Equity SGR is dedicated to investments in firms operating in the Italian lower-mid market."
Como Venture,Venture Capital,Como,Italia,http://www.comoventure.it,3,,1500000,1.5 Mln Euro,6,100000,500000,Italy,Early Stage,"Chemicals and materials, Industrial products and services, Other",
Consilium SGR,Private Equity,Milano,Italia,http://www.consiliumsgr.com,10,4,250000000,250 Mln Euro,5,10000000,20000000,Italy,"Buy Out, Expansion","Food and Beverages, ICT, Mechanics, Other manufacturing, Sustainability","Consilium focuses on B2B industrial niches, in particular Industrial components, Automated machinery, Food & Beverage, Circular economy."
Cooperare,Private Equity,Bologna,Italia,http://www.cooperarespa.it,3,1,363000000,363 Mln Euro,4,3000000,20000000,Italy,All Stages,"Energy and environment, Financial and insurance activities, Food and Beverages, Retail",
CVC Advisers (Italia),Private Equity,Milano,Italia,http://www.cvc.com,9,9,200000000000,200 Bn USD,140,250000000,1500000000,"Europe, USA, Worldwide",Buy Out,,"CVC is a leading global private markets manager with a network of 30 office locations throughout EMEA, the Americas, and Asia, with approximately €200 billion of assets under management. CVC has seven complementary strategies across private equity, secondaries, credit and infrastructure, for which CVC funds have secured commitments of approximately €249 billion from some of the world's leading pension funds and other institutional investors. Funds managed or advised by CVC’s private equity strategy are invested in over 140 companies worldwide, which have combined annual sales in excess of €162 billion and employ more than 580,000 people."
DBAG Italia,,Milano,Italia,http://www.dbagitalia.com,5,1,2,2.7 B,3,50000000,200000000,Italy,Buy Out,Industrial products and services,
DECALIA,,Milano,Italia,https://www.decalia.com/it-it/,72,,6000000000,€6bn (€2bn invested in private markets),,,,Europe,Private Debt,,"Founded in 2014, DECALIA is an independent asset management company specializing in investments for both private and institutional clients. With offices in Geneva, Zurich and Milan, the firm counts on a team of more than 70 professionals. Today, DECALIA manages over €6 billion in assets, of which more than €2 billion are invested in private markets. A strong emphasis is placed on the alignment of interests, as the management team systematically co-invests alongside its clients in the firm’s strategies."
Deep Ocean Capital SGR,Venture Capital,Roma,Italia,https://www.deepoceancapital.it/,3,3,,59.000.000,12,,,Italy,Early Stage,"Aerospace, Healthcare, ICT, Medtech, Sustainability",
Doorway,Venture Capital,Bologna,Italia,https://www.doorway.investments,,,,,50,5000,,"Europe, Italy",Early Stage,"Aerospace, Agriculture, Biotech, Financial and insurance activities, Food and Beverages, Healthcare, ICT, Industrial products and services, Medtech, Sustainability",
Eiffel Investment Group,"Infrastrutture, Private Debt, Private Equity, Venture Capital",Paris,Francia,https://www.eiffel-ig.com/,120,50,8,€8 mld,625,500000,500000000,"Europe, Italy","Buy Out, Early Stage, Expansion, Impact Investing, Infrastructure, Private Debt","Agriculture, Energy and environment, Food and Beverages, Healthcare, Industrial products and services, Other, Other manufacturing, Sustainability","Eiffel Investment Group is an independent asset manager with c. €8 billion under management*. Its investor base consists of large institutional investors (insurance companies, mutual insurers, pension funds, banks, family offices, public investors, etc.) as well as retail investors via intermediated distribution.Thanks to its in-depth financial expertise and recognized industrial know-how, Eiffel Investment Group invests in companies and their assets through a set of complementary strategies covering private debt, energy transition infrastructure (both debt and equity), private equity, and listed markets. A pioneer in energy transition financing, Eiffel Investment Group places impact at the heart of its model. Its strategies aim to generate sustainable financial performance while making a concrete contribution to decarbonization, innovation, and the development of a more resilient economy.Drawing on experienced teams and a local presence in several key geographies, the group operates from its offices in Paris, Amsterdam, Milan, Warsaw, New York, and Abu Dhabi. This international footprint allows it to work closely with the companies and developers it supports.* as of 31/12/2025, including uncalled commitments."
Entangled Capital SGR,Private Equity,Milano,Italia,http://www.entangledcapital.com,2,1,102000000,102 Mln Euro,5,5000000,15000000,Italy,"Buy Out, Expansion","Agriculture, Chemicals and materials, Food and Beverages, Healthcare, Industrial products and services, Mechanics, Other manufacturing","Entangled Capital SGR is an independent Italian asset management company that promotes and managesPrivate Equity direct fund in small-mid cap, with an operative approach combining the track record ofthe investment team with the industrial experience of the Operating Partners. EC Fund I is focused onItalian companies with turnover below 50 Mln Euro with the aim to invest in majority stakes supportingthe development of target companies reinforcing their market position, becoming more managerial andincreasing their international exposure."
Entrepreniston,"Private Equity, Venture Capital",Pura,Svizzera,https://www.entrepreniston.com,1,1,,,15,50000,1000000,Europe,Early Stage,"Chemicals and materials, Energy and environment, Healthcare, Industrial products and services, Mechanics, Medtech, Other manufacturing","Entrepreniston is a private equity and venture capital firm dedicated to enabling entrepreneurship. We support founders, acquisition entrepreneurs, corporates, foundations, and institutions across the full entrepreneurial lifecycle.We invest in innovative and scalable startups through a venture capital approach rooted in our ability to identify and back entrepreneurial talent. We also invest in sustainable and profitable SMEs through a private equity strategy based on the search fund model.In addition to investing, we provide coaching and advisory services to startups and SMEs across strategy, grants, operations, sales, fundraising, and exit.We also support corporates, foundations, and institutions in driving innovation through entrepreneurship, offering advisory services in venture building, due diligence, and technology transfer."
EnTrust Global Italia,"Infrastrutture, Private Debt, Private Equity",Milano,Italia,http://www.entrustglobal.com,40,3,16600000000,$16.6 Bln,110,5000000,,Worldwide,"Impact Investing, Infrastructure, Private Debt","Energy and environment, Media, Other, Sport, Transportation","EnTrust Global is a $~15.4bln alternative asset manager with a $~7.7bln Opportunistic Investments platform and a $~5.5bln Real Assets platform dedicated to the maritime transportation space. Our direct lending strategies have achieved considerable success in the US and European institutional markets, attracting the interest of numerous institutional investors such as pension funds, insurance companies and family offices thanks to attractive returns / income generation / speed of capital deployment / cost of capital features."
EOS Investment Management Group,"Infrastrutture, Private Equity",London,Inghilterra,https://eosimgroup.com/,7,6,430000000,430 Mln Euro,17,7500000,45000000,"Europe, Italy","All Stages, Buy Out, Infrastructure","Agriculture, Energy and environment, Industrial products and services, Other manufacturing, Sustainability","EOS IM Investment Management Group (EOS IM Group) is an independent asset manager active in the promotion and management of infrastructure and private equity investment funds dedicated to the energy and sustainable transitions. With a team of more than 30 professionals across London, Milan and Luxembourg offices combining financial and technical-industrial expertise, EOS IM has been an early pioneer in investments in next-generation renewable plants without recourse to public incentives. EOS IM also invests in high-growth SMEs active in the clean energy value chain, in the circular economy and the sustainable agriculture and food systems. EOS IM has been a signatory of the UN PRI since 2019, the UN Principles for Responsible Investment, and is an active supporter of the TCFD (Task Force on Climate-Related Financial Disclosures)."
EQT,Private Equity,Milano,Italia,http://www.eqtgroup.com,2500,17,270000000000,270 Bln Euro,185,100000000,3000000000,"Asia, Europe, USA",All Stages,"Agriculture, Biotech, Financial and insurance activities, Healthcare, ICT, Industrial products and services","EQT is a purpose-driven global investment organization with three decades of consistent investmentperformance across multiple geographies, sectors, and strategies. EQT manages and advises a range ofspecialized investment funds and other investment vehicles that invest across the world with the mission togenerate attractive returns and future-proof companies. EQT’s well-established platform, ability to generateconsistent attractive returns and long-term relationships with fund investors, and its unique culture, valuesand brand, have enabled EQT to reach EUR 270 billion assets under management. Today, EQT has twobusiness segments with underlying business lines: Private Capital (Private Equity, Ventures,Growth, Future, Life Sciences) and Real Assets (Infrastructure, Real Estate). In Italy, EQT has >15 Investment Advisers and investedin the following companies to date: Facile.it, LimaCorporate, Casa.it, Lifebrain (Private Equity)."
Equinox AIFM,Private Equity,Luxembourg,Lussemburgo,http://www.equinox-investments.com,12,5,570000000,570 Mln Euro,4,20000000,50000000,Italy,"Buy Out, Expansion","Healthcare, ICT, Industrial products and services","Equinox is a leading private Investment firm operating with a distinctive approach, tailored to unlock the best opportunities in the Italian mid-market. Founded in 2000, Equinox is built on industrial foundations and through its exclusive network, it is able to provide unique Investment proposition. Its differentiated and intelligent deal structuring enables partnership with the best businesses. Equinox, with a total of more than 1 Bln Euro of raised capital, has created substantial value both for investors and portfolio companies in its 25 years of experience."
Equita Capital SGR,"Infrastrutture, Private Debt, Private Equity",Milano,Italia,https://sgr.equita.eu,17,5,750000000,750 mln Euro,24,7000000,30000000,Europe,"Buy Out, Expansion, Infrastructure, Private Debt",,"Equita Capital SGR directly manages three Private Debt funds launched in 2016, 2020 and 2024 with a size of, respectively, €100m (fully invested), €237m (fully invested) and €160m (currently in fundraising with a target size of €300m), a Private Equity ELTIF fund launched in 2021 with a size of c. €100m and an Infrastructure fund launched in 2023 with a size of c. €160m.Private Debt funds focus on subordinated and unitranche facilities in support of LBO transactions sponsored by Private Equity funds and targeting European mid-size companies characterized by strong exposure to international markets and resilience to downturn cycles. Investment tickets ranging between €10m and €30m.The Private Equity ELTIF fund focuses on majority and qualified minority investments in Italian export-oriented SMEs with untapped growth potential and leadership position in their market. Investment tickets ranging between €7m and €12m, mostly in the form of capital increase to support the growth of the company.The EGIF renewable energy infrastructure fund focuses on equity investment in privately held greenfield assets in solar PV, onshore wind and biogas/biomethane, with a predominant focus on projects located in Italy and elsewhere in Europe. EGIF is an SFDR Article 9 fund with investment tickets ranging between €5m and €30m."
Equiter - Investimenti per il Territorio,"Infrastrutture, Private Equity",Torino,Italia,http://www.equiterspa.com,,11,2000000000,2 Bln Euro,40,500000,50000000,Italy,"Buy Out, Early Stage, Expansion, Impact Investing, Infrastructure, Real Estate","Aerospace, Chemicals and materials, Construction, Energy and environment, Healthcare, ICT, Industrial products and services, Mechanics, Medtech, Other manufacturing, Sustainability, Transportation","Holding company owned by Compagnia di San Paolo, Intesa Sanpaolo, Fondazione Cassa di Risparmio di Torino and Fondazione Cassa di Risparmio di Cuneo. Equiter is an investor and financial advisor in the infrastructure, innovation and entrepreneurial domains: it selects, arranges, executes and manages investments that have a socio-economic impact on the territory and promote its sustainable development in the long run, in accordance with the PRI principles. Equiter is active in Private Equity, directly investing in leading Italian SMEs along with partners. In addition, the company is anchor investor of the  “Equiter Infrastructure II” Fund (300Mln Euro committed as of December 2024) targeting mid-market infrastructures in Italy selected through an investment policy inspired by innovation and SDGs pillars.Equiter is also advisor for several major European financial instruments managed in the framework of Operational Agreements with the European Investment Bank (EIB), related to funds allocated by the Italian Ministries (Tourism, Economy & Finance and University & Research) for projects in the Tourism, Urban Regeneration and Innovation sectors, under the umbrella of National Recovery and Resilience Plan (PNRR) and the National Operational Programme on Research and Innovation 2014-2020 (PON R&I)."
Equiter SGR,Infrastrutture,Torino,Italia,https://www.equitersgr.it/,,1,300000000,300 Mln Euro,9,,,Italy,Infrastructure,"Energy and environment, Healthcare, Medtech, Sustainability, Transportation","Equiter is an asset management company of the Equiter Group specialized in infrastructure investments in the mid-market segment, with a main focus on the Italian market. Our investments range from the energy transition to digital, social and transport infrastructure, pursuing a strategy based on the identification of sectors and companies with high impact and innovation profiles."
Eurazeo,"Infrastrutture, Private Debt, Private Equity, Venture Capital",Parigi,Francia,http://www.eurazeo.com,400,15,35500000000,35.5 Bn Euro,600,500000,1500000000,Europe,"All Stages, Buy Out, Early Stage, Expansion, Impact Investing, Infrastructure, Private Debt, Real Estate","Biotech, Consumer, Energy and environment, Financial and insurance activities, Healthcare, ICT, Medtech","Eurazeo is a leading global investment group with €35.5bn in diversified assets under management, including €25.2bn on behalf of institutional and private clients through its private equity, private debt, real estate and infrastructure strategies.The Group supports around 600 companies, leveraging the commitment of its over 400 employees, its sector expertise, its privileged access to global markets via 13 offices in Europe, Asia and the United States, and its responsible approach to value creation based on growth.The company's institutional and family shareholding structure, and its solid financial structure, ensure its long-term viability..Eurazeo has 13 offices worldwide, including Paris, Milan, Madrid, New York, Sao Paulo, Seoul, Shanghai, Singapore, Tokyo, London, Luxembourg, Frankfurt and Berlin.Eurazeo is listed on Euronext Paris.ISIN: FR0000121121 - Bloomberg: RF FP - Reuters: EURA.PA."
EUREKA! Venture Sgr,"Private Equity, Venture Capital",Milano,Italia,http://www.eurekaventure.it,8,3,130000000,130 Mln Euro,35,250000,7500000,Europe,Early Stage,"Chemicals and materials, Energy and environment, ICT, Industrial products and services, Other manufacturing","Eureka! Venture SGR is an Italian asset management company authorized and supervised by the Bank of Italy and Consob, focused on Venture Capital and Private Equity Investments with the mission to back the entrepreneur talent.  The AIFM has raised different Alternative Investment Funds: Eureka! Fund I - Technology Transfer, backed by ITAtech platform powered by CDP and European Investment Fund, invests in proof-of-concept, spin-offs, startups, and companies aimed at enhancing the results of Italian scientific research in the field of Advanced Materials and, more generally, Materials Science and Engineering. BlackSheep Fund invests in digital technologies such as AI and big data applied to the MadTech (Marketing & Advertising) sector. ETA Fund I – Entrepreneurship Through Acquisition invests in small private equity via search funds."
Eurizon Capital Real Asset SGR,"Infrastrutture, Private Debt, Private Equity, Venture Capital",Milano,Italia,https://www.eurizoncapital.com/it-IT/chi-siamo/eurizon-capital-real-asset-sgr,,,12000000000,12 miliardi di euro,,,,Worldwide,All Stages,,"Eurizon Capital Real Asset SGR is an operating company since December 31, 2019, focused on alternative asset classes dedicated to the real economy. It is controlled by Eurizon Capital SGR and is owned by Intesa Sanpaolo Vita, BancoPosta Fondi SGR, and PosteVita. Eurizon Capital Real Asset SGR aims to be a distinctive center of expertise in alternative investments and private markets. Eurizon Capital Real Asset SGR is involved in the establishment and management of Alternative Investment Funds (AIFs) for institutional investors, family offices, and High Net Worth Individuals (HNWI). It oversees the selection of multi-manager AIFs, equity co-investments, private debt investments, mainly through ECRA Private Debt Fund, and direct equity investments. It also offers individual portfolio management services to institutional investors through the delegated management of Italian and foreign AIFs. Silvana Chilelli leads Eurizon Capital Real Asset SGR."
F&P Equity Partners,Private Equity,Milano,Italia,http://www.fp-equity-partners.com,8,,,,6,10000000,30000000,Europe,Buy Out,,"Founded by Maurizio Perroni and Guglielmo Fiocchi, F&P Equity Partners has been established with the objective ofa) supporting entrepreneurs and their “business community” on issues concerning the industrial and financialactivities of their companies, b) being an instrument for matching together industry and finance for thosewishing to invest in business activities in contexts characterized by an important “focus” on industrial issues.Since the beginning of the investment activity, F&P has focused mainly on ""Family Buyout"" transactions, supporting entrepreneurs in accelerating growth processes, often in contexts of generational transition where the family has given continuity to its entrepreneurial role and project."
F2i SGR,Infrastrutture,Milano,Italia,http://www.f2isgr.it,22,8,7460000000,"7,46 Bln Euro",18,,1070000000,Europe,Buy Out,Energy and environment,"Funds Investment Limits:F2i - Secondo Fondo Italiano per le Infrastrutture: € 310.000.000,00F2i - Terzo Fondo per le Infrastrutture: € 786.000.000,00Fondo Ania F2i: € 100.000.000,00F2i - Fondo per le Infrastrutture Sostenibili: € 300.000.000,00F2i - Infrastructure Debt Fund 1: range € 30.000.000,00 - 50.000.000,00F2i Rete Digitale: N/AF2i Infrastructure Credit Platform: N/A first closing in February 2026 €463 million raised F2i Infrastructure Equity Platform: N/A first closing expected in 2026"
FARO Value,"Private Equity, Venture Capital",Milano,Italia,www.farovalue.com,6,4,,150.000.000,3,1000000,60000000,"Europe, Italy, Worldwide","Buy Out, Early Stage, Expansion","Aerospace, Fashion, Food and Beverages, Furniture, Mechanics, Other manufacturing","FARO Value SpA is the Lead Advisor of FARO Alternative Investments, a multi-strategy platform operating since April 2024 through the following funds:•	FARO Real Economy Italy: a Private Equity fund focused on majority investments in Italian SMEs operating in high-excellence Made-in-Italy industrial sectors.•	FARO Fashion, Luxury & Design: a Private Equity fund focused on both majority and qualified minority investments in companies operating across Italy, France, the USA and the UK within the fashion, luxury and design sectors.•	FARO Innovation Global: a Venture Capital fund investing globally, with approximately 60% allocated indirectly (fund of funds) and 40% through direct investments, primarily in fintech and digital payments.•	FARO Innovation Italy: a Venture Capital fund investing in Italian start-ups at Series A and B stages within the digital, AI and B2B software sectors."
FIEE SGR,Infrastrutture,Roma,Italia,http://www.fieesgr.com,6,3,672000000,672 Mln Euro,6,10000000,56000000,Europe,Early Stage,Energy and environment,"FIEE SGR is pure-play pioneer in Energy Transition investing founded in 2015. As ESG native Fund Manager, through the Alternative Investment Funds managed, FIEE provides the first institutional capital to companies operating in the key segments for transitioning to a low-carbon energy environment. FIEE maximizes its impact through active engagement, leading to the development of larger, more efficient companies at exit.On March 2026, FIEE Energy Transition Fund III raised €280 million. Fund III is a SFDR article 9 fund, whose 25% of performance fees are linked to the achievement of ESG targets."
Fineurop,Private Equity,Milano,Italia,http://www.fineurop.it,3,,,,,,,,,,"Fineurop is a group whose expertise is based on almost 60 years of growth and success in the Italian market, having undertaken projects that have lead it to operate in a wide variety of industrial sectors. Established in 1966, as the first financial institution to introduce new solutions for export finance to the Italian market, Fineurop Group is active in corporate finance, private equity, distressed assets and international cooperation. The expertise gained in the various areas of international finance makes Fineurop a key partner in corporate development, both in terms of core business as well as the expansion into new markets and exploitation of increasingly important growth areas. The Group is today a financial partner capable of working alongsidecompanies at different stages of their growth: from geographical expansion to the exploration of new markets and structural consolidation."
Finint Investments SGR,"Private Debt, Private Equity, Venture Capital",Conegliano,Italia,,,,,,,,,,,,
Finlombarda S.p.A.,Private Debt,Milano,Italia,http://www.finlombarda.it,,,,,,,,Lombardia,Expansion,,"Finlombarda S.p.A. is the financial institution of Regione Lombardia. It supports regional economic development and operates as a financial intermediary authorized by the Bank of Italy to provide lending services. Its mission is to maximize the economic, employment, and social impact of investments in Lombardy by mobilizing additional financial resources and enabling strategic development projects. Finlombarda improves access to finance for businesses and attracts new investments to Lombardy by combining public and private resources through innovative financial instruments. It supports SMEs in their paths toward sustainable growth, innovation and internationalization through a fully integrated system of free of charge, high-value services. At the national level, Finlombarda is an active member of AIFI (Italian Association of Private Equity, Venture Capital and Private Debt), ANFIR (National Association of Regional Financial Institutions), ABI (Italian Banking Association). Internationally, it is affiliated with the EAPB (European Association of Public Banks), EEN (Enterprise Europe Network), and GIURI, an informal group representing the Italian Research and Innovation community in Brussels. The General Manager of Finlombarda is Giovanni Rallo."
Finsea,Venture Capital,Franca,Italia,http://www.gruppofinsea.it,18,,,,18,50000,1500000,Italy,All Stages,"Agriculture, Biotech, Energy and environment, Food and Beverages, ICT, Industrial products and services, Other manufacturing","Finsea puts together 18 italian Companies working in the field of environmental care and recycling, land& biodiversity, Energy & technology, services & consultancy for sustainability. Finsea was founded in 1999in order to share and optimize services for belonging societies, and has become a place of development andsupport for innovative companies, spreading a right culture of environmental protection. All societies sharethe principle of economic, environmental and social sustainability. The companies belonging to Finsea haveactually a total estimated turnover about 105 Mln Euro and a total workforce of about 400 employees."
Fondo Italiano d’Investimento SGR,"Private Debt, Private Equity",Milano,Italia,http://www.fondoitaliano.it,46,21,4300000000,4.3 Bln Euro,26,,,Italy,"Buy Out, Expansion, Impact Investing, Private Debt","Agriculture, Consumer, Fashion, Food and Beverages, Healthcare, ICT, Industrial products and services, Other","Fondo Italiano d’Investimento SGRFounded in 2010 at the initiative of the Ministry of Economy and Finance (MEF) and backed by CDP Equity, Intesa Sanpaolo, UniCredit, the ENPAM and ENPAIA Foundations, ABI, Banco BPM, and BPER Banca, Fondo Italiano d’Investimento SGR is dedicated to managing closed-end mutual funds that channel capital into Italy’s leading enterprises. The firm aims to deliver competitive returns aligned with international benchmarks while fostering the growth of the Italian industrial sector. Fondo Italiano currently manages 21 closed-end mutual funds exclusively for qualified investors, with over €4 billion in assets under management. It operates through both direct investments and a fund-of-funds strategy. Committed to sustainability, Fondo Italiano integrates environmental, social, and governance (ESG) principles into its investment approach."
Friulia,Private Equity,Trieste,Italia,http://www.friulia.it,10,1,202000000,202 Mln Euro,66,250000,15000000,Friuli-Venezia Giulia,All Stages,"Chemicals and materials, Construction, Energy and environment, Fashion, Food and Beverages, Furniture, Healthcare, ICT, Industrial products and services, Other, Other manufacturing, Retail, Transportation","Friulia promotes the development of the economy of the Friuli Venezia Giulia Region. It invests in minority equity stakes. Friulia focuses on small and medium companies (SMEs). It operates in several financing stages, including expansion capital and turnarounds."
FSI,Private Equity,Milano,Italia,http://www.fondofsi.it,9,3,3500000000,"3,5 bln Euro",7,30000000,250000000,Italy,Expansion,"Aerospace, Agriculture, Biotech, Food and Beverages, Healthcare, ICT, Medtech, Other, Retail, Sustainability","FSI funds invest in Italian companies with strong growth potential, typically operating in the mid-market and lower mid-market segments and in sectors where FSI has developed deep expertise, applying the following main criteria:(i) Active minority/partnership or majority investments, ensuring meaningful governance rights and appropriate levels of influence over portfolio companies through structured governance mechanisms"
Fürstenberg SGR,Private Debt,Milano,Italia,www.furstenbergsgr.eu,9,4,720000000,720 Mln Euro,,,,Italy,"Non Performing Assets, Private Debt, Turnaround",,
FVG Plus,,Udine,Italia,https://fvgplus.it/,,,,,,,,,,,
FVS SGR,Private Equity,Venezia,Italia,http://www.fvssgr.it,8,2,120000000,120 Mln Euro,7,3000000,10000000,"Friuli-Venezia Giulia, Trentino Alto Adige, Veneto","Buy Out, Expansion, Replacement","Consumer, Energy and environment, Fashion, Food and Beverages, Furniture, Healthcare, ICT, Industrial products and services, Mechanics, Other, Other manufacturing, Retail, Transportation","FVS SGR S.p.A. is a Territorial Private Equity operator that promotes and manages Funds dedicated to the development of entrepreneurial excellence in the North East of Italy, through the collection of private and institutional capital to be invested in the region, with the aim of supporting the growth of SMEs in Veneto, Friuli-Venezia Giulia, and Trentino-Alto Adige.FVS pursues the objective of providing, through direct investments in equity, financial support for the development of SMEs in order to enable their dimensional growth, geographical expansion and/or product/service portfolio diversification, and the improvement of their market positioning at an international level, also through acquisition processes or integration with other companies (business combinations).The management team has extensive experience in the Italian and regional mid-market ."
Generali Investments,"Infrastrutture, Private Debt",Milano,Italia,http://www.generali-investments.com/,500,,80400000000,80.4 Bln Euro,,,,"Asia, Europe, United Kingdom, USA, Worldwide","Infrastructure, Private Debt, Real Estate",,"The Generali Group is one of the largest global insurance and asset management providers, operating in 50 countries worldwide. With more than 736 bn in AUM, Asset management is mainly performed through Generali Investments: a platform of asset management firms, delivering a portfolio of specialist capabilities. Our platform enables us to consolidate our skills in research, selection, execution and monitoring, offering a comprehensive access to real assets and private markets opportunities. Our diversified, specialized solutions are underpinned by a strong environmental, social and corporate governance (ESG) framework.*Source: Generali Investments Holding S.p.A., data as of 31 December 2025, gross of double counting and referring to total commitment. Please note the data include Generali Asset Management S.p.A. Società di gestione del risparmio, Generali Real Estate S.p.A. Società di gestione del risparmio, Infranity SAS, Sosteneo S.p.A. Società di gestione del risparmio, Pearlmark Real Estate, Aperture Investors LLC and MGG Investment Group which are part of Generali Investments."
Gepafin,Private Debt,Perugia,Italia,http://www.gepafin.it,5,3,20000000,20 Mln Euro,12,100000,1500000,Umbria,All Stages,,"Gepafin is promoted by the EU, the region of Umbria and national and regional banks. Gepafin works in the venture capital market and issues guarantees on medium and long term loans. Gepafin manages a total amount of 106,5 Mln Euro."
Gradiente SGR,Private Equity,Padova,Italia,http://www.gradientesgr.it,4,2,315200000,"315,2 Mln Euro",11,3000000,20000000,Italy,Buy Out,,
Green Arrow Capital SGR,"Infrastrutture, Private Debt, Private Equity",Roma,Italia,https://www.greenarrow-capital.com/,24,15,2200000000,2.2 bln,85,500000,100000000,"Europe, Italy","Buy Out, Infrastructure, Private Debt, Real Estate","Agriculture, Chemicals and materials, Construction, Energy and environment, Fashion, Food and Beverages, Healthcare, Industrial products and services, Mechanics, Retail, Sustainability","Green Arrow Capital SGR is part of Green Arrow Capital S.p.A. Società Benefit, an independent platform specialized in Alternative Investments across four segments: Energy & Digital Infrastructure, Private Equity, Private Credit and Real Estate, each supported by dedicated investment teams and committees.With over €2 billion in assets under management historically raised, the Group primarily serves institutional investors. It operates in Italy through Green Arrow Capital SGR and in Luxembourg through  Green Arrow Capital AIFM SARL. Headquartered in Rome, the Group employs over 60 professionals across its offices in Milan, Trento, and Luxembourg. A UN PRI signatory since 2020, Green Arrow Capital integrates ESG criteria across all funds (Article 8 or 9 SFDR) and portfolio companies."
H.I.G. European Capital Partners Italy,,Milano,Italia,http://www.higeurope.com,18,7,74000000000,74 Bln Euro (World),150,15000000,250000000,Europe,Buy Out,,"H.I.G. is a leading global alternative assets investment firm with $67 billion of equity capital under management.* Based in Miami, and with offices in New York, Boston, Chicago, Los Angeles, San Francisco, and Atlanta in the U.S., as well as international affiliate offices in London, Hamburg, Madrid, Milan and Paris in Europe, Bogotá, Rio de Janeiro and São Paulo in Latina America, Dubai in the Middle East, and Hong Kong in Asia, H.I.G. specializes in providing both debt and equity capital to small and mid-sized companies, utilizing a flexible and operationally focused/ value-added approach: 1.	H.I.G.’s equity funds invest in management buyouts, recapitalizations and corporate carve-outs of both profitable as well as underperforming manufacturing and service businesses.2.	H.I.G.’s debt funds invest in senior, unitranche and junior debt financing to companies across the size spectrum, both on a primary (direct origination) basis, as well as in the secondary markets. H.I.G. also manages a publicly traded BDC, WhiteHorse Finance.3.	H.I.G.’s real estate funds invest in value-added properties, which can benefit from improved asset management practices.4.	H.I.G. Infrastructure focuses on making value-add and core plus investments in the infrastructure sector.Since its founding in 1993, H.I.G. has invested in and managed more than 400 companies worldwide. The firm's current portfolio includes more than 100 companies with combined sales in excess of $53 billion. For more information, please refer to the H.I.G. website at www.higcapital.com."
HAT SGR,Private Equity,Milano,Italia,http://www.hat.it,14,4,460000000,460 Mln Euro,8,10000000,30000000,Italy,"Buy Out, Expansion","Healthcare, ICT, Medtech, Other","HAT SGR is the leading Italian investor in the growing and dynamic Technology market, winner in 2022 of the ""Private Equity of the Year"" and the ""Best Italian Private Equity Practice"" awards, and whose CEO, Ignazio Castiglioni, received in 2024 the “Private Equty - Professional of the year” award. HAT was established in 2007, with the belief that the transformative power of technology is the key to an even better future: a healthier planet, a smarter economy, an inclusive community and a broader path to prosperity. Today, this belief in the power of technology and innovation is still the guiding light of our company and we remain singularly-focused on capturing the opportunities in this market.  The mission of HAT is to develop and promote the best investment solutions through Private Equity strategies, delivering top-quartile performances to our investors with a strong attention to risk mitigation, and creating lasting impact for the companies in which we invest – including Assist Digital (Artificial Intelligence & CRM), Burke & Burke (Medtech), GPI (GPI.MI – Health & Social Care Technology), Huma Therapeutics (Digital Health), Lutech (Digital, Technology & System Integrator), SIA (Financial Institutions' Technology Infrastructures & Services), Safety21 (Smart Mobility), Wiit (WIIT.MI – Cloud Computing), and Webgenesys (Digital Transformation & Software Development) – as well as for the communities in which we live."
HAT Sicaf,Private Equity,Milano,Italia,http://www.hatsicaf.it,4,1,42000000,42 Mln Euro,,2500000,6500000,Italy,"Buy Out, Expansion","ICT, Other","HAT Sicaf is the Private Equity fund of HAT dedicated to lower-end market exposure in Italy. HAT was established in 2007, with the belief that the transformative power of technology is the key to an even better future: a healthier planet, a smarter economy, an inclusive community and a broader path to prosperity. Today, this belief in the power of technology and innovation is still the guiding light of our company and we remain singularly-focused on capturing the opportunities in this market. The mission of HAT is to develop and promote the best investment solutions through Private Equity strategies, delivering top-quartile performances to our investors with a strong attention to risk mitigation, and creating lasting impact for the companies in which we invest – including Assist Digital (Artificial Intelligence & CRM), Burke & Burke (Medtech), GPI (GPI.MI – Health & Social Care Technology), Huma Therapeutics (Digital Health), Lutech (Digital, Technology & System Integrator), SIA (Financial Institutions' Technology Infrastructures & Services), Safety21 (Smart Mobility), Wiit (WIIT.MI – Cloud Computing), and Webgenesys (Digital Transformation & Software Development) – as well as for the communities in which we live."
